GAME,"Num. 
Ratings",%Rated,Average,B.Avg,% [10],StdDev,,,
Hollow Knight,88,98.88%,9.26,8.15,65.91%,1.47,,Total ratings,89
Super Metroid,55,61.80%,8.96,7.57,52.73%,1.53,,Average ratings,38.47
Ori and the Will of the Wisps,59,66.29%,8.71,7.47,44.07%,1.77,,median ratings,37
Ori and the Blind Forest,65,73.03%,8.22,7.23,20.00%,1.48,,min ratings,8
Blasphemous 2,47,52.81%,8.38,7.11,27.66%,1.62,,max ratings,88
Metroid: Zero Mission,46,51.69%,8.33,7.07,28.26%,1.52,,,
Castlevania: Symphony of the Night,51,57.30%,8.33,7.14,41.18%,1.89,,,
Metroid: Fusion,50,56.18%,8.26,7.09,26.00%,1.86,,,
Islets,42,47.19%,8.33,7.01,16.67%,1.26,,,
Metroid Prime,43,48.31%,8.30,7.01,27.91%,1.63,,,
Metroid Dread,52,58.43%,8.10,7.02,38.46%,2.59,,,
Blasphemous,70,78.65%,7.61,6.88,27.14%,2.29,,,
Castlevania: Aria of Sorrow,48,53.93%,7.96,6.89,29.17%,1.93,,,
Steamworld Dig 2,48,53.93%,7.81,6.81,10.42%,1.35,,,
Ender Lilies,58,65.17%,7.69,6.84,24.14%,2.04,,,
Metroid Prime 2,26,29.21%,8.46,6.72,30.77%,1.77,,,
The Messenger,50,56.18%,7.78,6.81,12.00%,1.56,,,
Castlevania: Dawn of Sorrow,37,41.57%,7.89,6.70,18.92%,1.85,,,
Astalon: Tears of the Earth,36,40.45%,8.03,6.75,33.33%,2.14,,,
Guacamelee! 2,43,48.31%,7.86,6.77,16.28%,1.86,,,
Guacamelee! 1,54,60.67%,7.50,6.69,12.96%,1.78,,,
"Haiku, the Robot",42,47.19%,7.60,6.61,9.52%,1.29,,,
HAAK,30,33.71%,7.80,6.53,13.33%,1.67,,,
Castlevania: Order of Ecclesia,35,39.33%,7.77,6.60,25.71%,2.09,,,
Bloodstained: Ritual of the Night,60,67.42%,7.10,6.49,8.33%,1.93,,,
Afterimage,45,50.56%,7.38,6.53,15.56%,2.00,,,
Aeterna Noctis,44,49.44%,6.84,6.23,11.36%,2.66,,,
Yoku's Island Express,47,52.81%,7.21,6.46,12.77%,2.04,,,
Environmental Station Alpha,31,34.83%,7.55,6.43,12.90%,1.91,,,
TEVI,21,23.60%,7.86,6.35,28.57%,2.06,,,
Axiom Verge 1,58,65.17%,7.00,6.42,8.62%,2.00,,,
Monster Boy and the Cursed Kingdom,36,40.45%,7.17,6.32,8.33%,2.16,,,
Grime,27,30.34%,7.15,6.20,11.11%,2.44,,,
Lone Fungus,32,35.96%,6.94,6.17,3.13%,1.95,,,
Rabi-Ribi,26,29.21%,6.96,6.10,23.08%,2.76,,,
Touhou Luna Nights,26,29.21%,7.19,6.20,11.54%,1.98,,,
Gato Roboto,37,41.57%,7.00,6.25,0.00%,1.56,,,
Iconoclasts,38,42.70%,6.92,6.22,10.53%,2.01,,,
Supraland,20,22.47%,7.20,6.10,15.00%,1.79,,,
Momodora: Reverie Under the Moonlight,33,37.08%,6.91,6.16,6.06%,1.77,,,
Shantae and the Pirate's Curse,36,40.45%,6.69,6.09,5.56%,2.11,,,
Record of Lodoss War-Deedlit in Wonder Labyrinth,35,39.33%,6.71,6.09,5.71%,1.67,,,
Axiom Verge 2,32,35.96%,6.66,6.04,6.25%,1.62,,,
Castlevania: Circle of the Moon,39,43.82%,6.64,6.09,5.13%,1.66,,,
La-Mulana,22,24.72%,6.50,5.87,18.18%,2.60,,,
Shadow Complex,22,24.72%,6.59,5.91,0.00%,1.74,,,
The Last Faith,11,12.36%,6.45,5.72,9.09%,2.73,,,
Valdis Story: Abyssal City,18,20.22%,6.44,5.81,16.67%,2.33,,,
Dust: An Elysian Tale,36,40.45%,6.47,5.98,5.56%,2.08,,,
Timespinner,29,32.58%,6.21,5.81,0.00%,1.86,,,
Vernal Edge,19,21.35%,6.05,5.69,5.26%,1.81,,,
Alwa's Legacy,15,16.85%,6.27,5.72,0.00%,1.33,,,
Rusted Moss,8,8.99%,5.88,5.57,0.00%,1.46,,,
Laika: Aged Through Blood ,16,17.98%,5.69,5.56,6.25%,2.55,,,
Blaster Master Zero,22,24.72%,5.77,5.60,0.00%,2.00,,,
